subtype,question,structured,correct_answer
blood_relation,Vikram is Riya's father. Riya is Divya's mother. How is Vikram related to Divya?,Vikram|father|Riya;Riya|mother|Divya,grandfather
direction_sense,"Pooja walks 10km east, then 9km west. How far is Pooja from the starting point?",10km east;9km west,1.0
coding_decoding,"If DOG is coded as ITL, how is LOG coded?",DOG->ITL;LOG->?,QTL
syllogism,Statement 1: All foods are cats. Statement 2: No cats are dogs. Conclusion: No foods are dogs. Is the conclusion valid?,All foods are cats|No cats are dogs|No foods are dogs,valid
blood_relation,Karan is Kavya's father. Kavya is Divya's father. How is Karan related to Divya?,Karan|father|Kavya;Kavya|father|Divya,grandfather
direction_sense,"Karan walks 3km south, then 8km east. How far is Karan from the starting point?",3km south;8km east,8.54
coding_decoding,"If PEN is coded as TIR, how is TOP coded?",PEN->TIR;TOP->?,XST
syllogism,Statement 1: Some pets are cats. Statement 2: All cats are plants. Conclusion: Some pets are plants. Is the conclusion valid?,Some pets are cats|All cats are plants|Some pets are plants,valid
blood_relation,Rohit is Riya's daughter. Riya is Karan's son. How is Rohit related to Karan?,Rohit|daughter|Riya;Riya|son|Karan,granddaughter
direction_sense,"Nikhil walks 7km east, then 9km north, then 7km north. How far is Nikhil from the starting point?",7km east;9km north;7km north,17.46
coding_decoding,"If CUP is coded as FXS, how is TOP coded?",CUP->FXS;TOP->?,WRS
syllogism,Statement 1: All dogs are mammals. Statement 2: All mammals are foods. Conclusion: All dogs are foods. Is the conclusion valid?,All dogs are mammals|All mammals are foods|All dogs are foods,valid
blood_relation,Rohit is Riya's daughter. Riya is Meera's son. How is Rohit related to Meera?,Rohit|daughter|Riya;Riya|son|Meera,granddaughter
direction_sense,"Rohit walks 9km north, then 4km south. How far is Rohit from the starting point?",9km north;4km south,5.0
coding_decoding,"If MAP is coded as RFU, how is KEY coded?",MAP->RFU;KEY->?,PJD
syllogism,Statement 1: Some fruits are cats. Statement 2: All cats are pets. Conclusion: Some fruits are pets. Is the conclusion valid?,Some fruits are cats|All cats are pets|Some fruits are pets,valid
blood_relation,Divya is Amit's daughter. Amit is Rohit's daughter. How is Divya related to Rohit?,Divya|daughter|Amit;Amit|daughter|Rohit,granddaughter
direction_sense,"Riya walks 10km east, then 3km west. How far is Riya from the starting point?",10km east;3km west,7.0
coding_decoding,"If BAT is coded as GFY, how is COW coded?",BAT->GFY;COW->?,HTB
syllogism,Statement 1: Some mammals are foods. Statement 2: Some foods are animals. Conclusion: Some mammals are animals. Is the conclusion valid?,Some mammals are foods|Some foods are animals|Some mammals are animals,invalid
blood_relation,Anjali is Kavya's father. Kavya is Arjun's mother. How is Anjali related to Arjun?,Anjali|father|Kavya;Kavya|mother|Arjun,grandfather
direction_sense,"Rohit walks 7km south, then 4km west, then 8km west. How far is Rohit from the starting point?",7km south;4km west;8km west,13.89
coding_decoding,"If DOG is coded as GRJ, how is TOP coded?",DOG->GRJ;TOP->?,WRS
syllogism,Statement 1: Some pets are fruits. Statement 2: Some fruits are cars. Conclusion: Some pets are cars. Is the conclusion valid?,Some pets are fruits|Some fruits are cars|Some pets are cars,invalid
blood_relation,Vikram is Meera's father. Meera is Amit's father. How is Vikram related to Amit?,Vikram|father|Meera;Meera|father|Amit,grandfather
direction_sense,"Nikhil walks 3km east, then 9km north, then 2km east. How far is Nikhil from the starting point?",3km east;9km north;2km east,10.3
coding_decoding,"If FAN is coded as JER, how is KEY coded?",FAN->JER;KEY->?,OIC
syllogism,Statement 1: Some vehicles are flowers. Statement 2: All flowers are animals. Conclusion: Some vehicles are animals. Is the conclusion valid?,Some vehicles are flowers|All flowers are animals|Some vehicles are animals,valid
blood_relation,Karan is Divya's daughter. Divya is Pooja's son. How is Karan related to Pooja?,Karan|daughter|Divya;Divya|son|Pooja,granddaughter
direction_sense,"Nikhil walks 3km east, then 2km east. How far is Nikhil from the starting point?",3km east;2km east,5.0
coding_decoding,"If DOG is coded as HSK, how is TOP coded?",DOG->HSK;TOP->?,XST
syllogism,Statement 1: Some pets are flowers. Statement 2: All flowers are dogs. Conclusion: Some pets are dogs. Is the conclusion valid?,Some pets are flowers|All flowers are dogs|Some pets are dogs,valid
blood_relation,Manoj is Sneha's son. Sneha is Arjun's son. How is Manoj related to Arjun?,Manoj|son|Sneha;Sneha|son|Arjun,grandson
direction_sense,"Divya walks 5km west, then 4km east. How far is Divya from the starting point?",5km west;4km east,1.0
coding_decoding,"If MAP is coded as OCR, how is TOP coded?",MAP->OCR;TOP->?,VQR
syllogism,Statement 1: No dogs are pets. Statement 2: Some pets are birds. Conclusion: Some birds are not dogs. Is the conclusion valid?,No dogs are pets|Some pets are birds|Some birds are not dogs,valid
blood_relation,Amit is Rohit's father. Rohit is Sneha's father. How is Amit related to Sneha?,Amit|father|Rohit;Rohit|father|Sneha,grandfather
direction_sense,"Arjun walks 4km north, then 8km west. How far is Arjun from the starting point?",4km north;8km west,8.94
coding_decoding,"If PEN is coded as QFO, how is RUN coded?",PEN->QFO;RUN->?,SVO
syllogism,Statement 1: Some foods are vehicles. Statement 2: Some vehicles are pets. Conclusion: Some foods are pets. Is the conclusion valid?,Some foods are vehicles|Some vehicles are pets|Some foods are pets,invalid
blood_relation,Karan is Amit's daughter. Amit is Kavya's son. How is Karan related to Kavya?,Karan|daughter|Amit;Amit|son|Kavya,granddaughter
direction_sense,"Karan walks 10km south, then 9km north, then 7km north. How far is Karan from the starting point?",10km south;9km north;7km north,6.0
coding_decoding,"If BAT is coded as CBU, how is BOX coded?",BAT->CBU;BOX->?,CPY
syllogism,Statement 1: No fruits are foods. Statement 2: Some foods are birds. Conclusion: Some birds are not fruits. Is the conclusion valid?,No fruits are foods|Some foods are birds|Some birds are not fruits,valid
blood_relation,Sneha is Priya's father. Priya is Riya's mother. How is Sneha related to Riya?,Sneha|father|Priya;Priya|mother|Riya,grandfather
direction_sense,"Meera walks 10km west, then 2km south, then 10km south. How far is Meera from the starting point?",10km west;2km south;10km south,15.62
coding_decoding,"If CUP is coded as DVQ, how is RUN coded?",CUP->DVQ;RUN->?,SVO
syllogism,Statement 1: No dogs are mammals. Statement 2: Some mammals are vehicles. Conclusion: Some vehicles are not dogs. Is the conclusion valid?,No dogs are mammals|Some mammals are vehicles|Some vehicles are not dogs,valid
blood_relation,Divya is Rohit's son. Rohit is Sneha's daughter. How is Divya related to Sneha?,Divya|son|Rohit;Rohit|daughter|Sneha,grandson
direction_sense,"Arjun walks 9km west, then 5km south. How far is Arjun from the starting point?",9km west;5km south,10.3
coding_decoding,"If BAT is coded as FEX, how is JAM coded?",BAT->FEX;JAM->?,NEQ
syllogism,Statement 1: All fruits are cars. Statement 2: No cars are plants. Conclusion: No fruits are plants. Is the conclusion valid?,All fruits are cars|No cars are plants|No fruits are plants,valid
blood_relation,Divya is Vikram's daughter. Vikram is Riya's son. How is Divya related to Riya?,Divya|daughter|Vikram;Vikram|son|Riya,granddaughter
direction_sense,"Rohit walks 2km south, then 9km north, then 8km north. How far is Rohit from the starting point?",2km south;9km north;8km north,15.0
coding_decoding,"If PEN is coded as RGP, how is BAT coded?",PEN->RGP;BAT->?,DCV
syllogism,Statement 1: Some foods are birds. Statement 2: All birds are mammals. Conclusion: Some foods are mammals. Is the conclusion valid?,Some foods are birds|All birds are mammals|Some foods are mammals,valid
blood_relation,Kavya is Divya's mother. Divya is Riya's mother. How is Kavya related to Riya?,Kavya|mother|Divya;Divya|mother|Riya,grandmother
direction_sense,"Arjun walks 4km south, then 9km south. How far is Arjun from the starting point?",4km south;9km south,13.0
coding_decoding,"If MAP is coded as NBQ, how is BOX coded?",MAP->NBQ;BOX->?,CPY
syllogism,Statement 1: All flowers are birds. Statement 2: No birds are vehicles. Conclusion: No flowers are vehicles. Is the conclusion valid?,All flowers are birds|No birds are vehicles|No flowers are vehicles,valid
blood_relation,Karan is Amit's daughter. Amit is Suresh's son. How is Karan related to Suresh?,Karan|daughter|Amit;Amit|son|Suresh,granddaughter
direction_sense,"Divya walks 8km south, then 8km north, then 10km south. How far is Divya from the starting point?",8km south;8km north;10km south,10.0
coding_decoding,"If PEN is coded as QFO, how is KEY coded?",PEN->QFO;KEY->?,LFZ
syllogism,Statement 1: No cars are flowers. Statement 2: Some flowers are birds. Conclusion: Some birds are not cars. Is the conclusion valid?,No cars are flowers|Some flowers are birds|Some birds are not cars,valid
blood_relation,Riya is Arjun's daughter. Arjun is Meera's daughter. How is Riya related to Meera?,Riya|daughter|Arjun;Arjun|daughter|Meera,granddaughter
direction_sense,"Amit walks 5km west, then 9km east. How far is Amit from the starting point?",5km west;9km east,4.0
coding_decoding,"If BAT is coded as DCV, how is BAT coded?",BAT->DCV;BAT->?,DCV
syllogism,Statement 1: No birds are animals. Statement 2: Some animals are cats. Conclusion: Some cats are not birds. Is the conclusion valid?,No birds are animals|Some animals are cats|Some cats are not birds,valid
blood_relation,Kavya is Nikhil's mother. Nikhil is Vikram's mother. How is Kavya related to Vikram?,Kavya|mother|Nikhil;Nikhil|mother|Vikram,grandmother
direction_sense,"Amit walks 4km east, then 9km west, then 3km south. How far is Amit from the starting point?",4km east;9km west;3km south,5.83
coding_decoding,"If BAT is coded as CBU, how is LOG coded?",BAT->CBU;LOG->?,MPH
syllogism,Statement 1: All dogs are plants. Statement 2: All plants are cars. Conclusion: All dogs are cars. Is the conclusion valid?,All dogs are plants|All plants are cars|All dogs are cars,valid
blood_relation,Arjun is Amit's mother. Amit is Suresh's father. How is Arjun related to Suresh?,Arjun|mother|Amit;Amit|father|Suresh,grandmother
direction_sense,"Sneha walks 10km east, then 9km south. How far is Sneha from the starting point?",10km east;9km south,13.45
coding_decoding,"If MAP is coded as OCR, how is BOX coded?",MAP->OCR;BOX->?,DQZ
syllogism,Statement 1: Some pets are flowers. Statement 2: All flowers are mammals. Conclusion: Some pets are mammals. Is the conclusion valid?,Some pets are flowers|All flowers are mammals|Some pets are mammals,valid
blood_relation,Priya is Kavya's father. Kavya is Nikhil's mother. How is Priya related to Nikhil?,Priya|father|Kavya;Kavya|mother|Nikhil,grandfather
direction_sense,"Vikram walks 4km west, then 7km north, then 5km south. How far is Vikram from the starting point?",4km west;7km north;5km south,4.47
coding_decoding,"If BAT is coded as CBU, how is LOG coded?",BAT->CBU;LOG->?,MPH
syllogism,Statement 1: No plants are animals. Statement 2: Some animals are dogs. Conclusion: Some dogs are not plants. Is the conclusion valid?,No plants are animals|Some animals are dogs|Some dogs are not plants,valid
blood_relation,Suresh is Sneha's son. Sneha is Arjun's daughter. How is Suresh related to Arjun?,Suresh|son|Sneha;Sneha|daughter|Arjun,grandson
direction_sense,"Karan walks 8km south, then 7km north, then 7km north. How far is Karan from the starting point?",8km south;7km north;7km north,6.0
coding_decoding,"If MAP is coded as QET, how is KEY coded?",MAP->QET;KEY->?,OIC
syllogism,Statement 1: All pets are cats. Statement 2: All cats are fruits. Conclusion: All pets are fruits. Is the conclusion valid?,All pets are cats|All cats are fruits|All pets are fruits,valid
blood_relation,Kavya is Amit's father. Amit is Karan's father. How is Kavya related to Karan?,Kavya|father|Amit;Amit|father|Karan,grandfather
direction_sense,"Meera walks 6km south, then 10km west. How far is Meera from the starting point?",6km south;10km west,11.66
coding_decoding,"If CAT is coded as ECV, how is RUN coded?",CAT->ECV;RUN->?,TWP
syllogism,Statement 1: All dogs are flowers. Statement 2: No flowers are birds. Conclusion: No dogs are birds. Is the conclusion valid?,All dogs are flowers|No flowers are birds|No dogs are birds,valid
blood_relation,Karan is Divya's son. Divya is Amit's son. How is Karan related to Amit?,Karan|son|Divya;Divya|son|Amit,grandson
direction_sense,"Rohit walks 2km west, then 7km west, then 4km west. How far is Rohit from the starting point?",2km west;7km west;4km west,13.0
coding_decoding,"If MAP is coded as NBQ, how is BAT coded?",MAP->NBQ;BAT->?,CBU
syllogism,Statement 1: Some birds are dogs. Statement 2: All dogs are foods. Conclusion: Some birds are foods. Is the conclusion valid?,Some birds are dogs|All dogs are foods|Some birds are foods,valid
blood_relation,Manoj is Vikram's son. Vikram is Meera's daughter. How is Manoj related to Meera?,Manoj|son|Vikram;Vikram|daughter|Meera,grandson
direction_sense,"Arjun walks 9km west, then 5km east, then 6km east. How far is Arjun from the starting point?",9km west;5km east;6km east,2.0
coding_decoding,"If CUP is coded as FXS, how is LOG coded?",CUP->FXS;LOG->?,ORJ
syllogism,Statement 1: All fruits are birds. Statement 2: No birds are pets. Conclusion: No fruits are pets. Is the conclusion valid?,All fruits are birds|No birds are pets|No fruits are pets,valid
blood_relation,Priya is Pooja's mother. Pooja is Rohit's mother. How is Priya related to Rohit?,Priya|mother|Pooja;Pooja|mother|Rohit,grandmother
direction_sense,"Sneha walks 8km south, then 6km east, then 2km west. How far is Sneha from the starting point?",8km south;6km east;2km west,8.94
coding_decoding,"If MAP is coded as QET, how is KEY coded?",MAP->QET;KEY->?,OIC
syllogism,Statement 1: No plants are fruits. Statement 2: Some fruits are vehicles. Conclusion: Some vehicles are not plants. Is the conclusion valid?,No plants are fruits|Some fruits are vehicles|Some vehicles are not plants,valid
blood_relation,Kavya is Sneha's son. Sneha is Meera's son. How is Kavya related to Meera?,Kavya|son|Sneha;Sneha|son|Meera,grandson
direction_sense,"Kavya walks 10km east, then 9km east. How far is Kavya from the starting point?",10km east;9km east,19.0
coding_decoding,"If FAN is coded as JER, how is RUN coded?",FAN->JER;RUN->?,VYR
syllogism,Statement 1: All cars are foods. Statement 2: All foods are flowers. Conclusion: All cars are flowers. Is the conclusion valid?,All cars are foods|All foods are flowers|All cars are flowers,valid
